fips,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_warehouse_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,public_admin,other,year
8031,25893,29073,36810,40535,22403,36497,47184,46454,54972,35247,23740,53691,22643,2010
8033,22500,33702,29063,16250,25083,80556,"2,500-",33125,15156,32188,NA,45885,9792,2010
8035,38056,52710,87216,76042,32446,57063,69327,60052,75978,42951,22331,64308,30521,2010
8037,28906,34757,50913,50275,32817,44840,36847,52412,57113,42890,31314,48581,30192,2010
8039,29583,45000,58804,52396,25706,61797,57278,55694,72045,33589,16364,73454,28202,2010
8041,20610,35379,42496,36594,23280,46169,39721,35643,63238,31063,16875,53199,25139,2010
8043,13365,35166,47750,33603,20874,30093,40473,28634,35865,23196,11500,48284,20679,2010
8045,37177,38146,46492,52885,27492,48278,42875,41184,51022,28343,28019,55405,23413,2010
8047,16587,33096,47446,46833,11959,58583,178438,72553,63750,43333,27635,52066,16830,2010
8049,40884,36814,17351,27298,19609,57692,22227,31840,38125,31186,26003,52891,40063,2010
8051,12685,28738,72361,49167,22161,39500,65568,36964,46318,27924,14348,38159,20484,2010
8053,NA,56250,16250,NA,90568,NA,NA,12031,100739,61184,NA,35000,17656,2010
8055,16000,35288,22273,9479,19274,56607,33289,26340,34125,27016,19671,26053,7321,2010
8057,22500,30893,46250,NA,21250,33385,35313,30000,16406,21447,"2,500-",45417,30909,2010
8059,31027,40692,53962,48544,25428,48650,54288,45960,60389,36184,20966,62933,27026,2010
8061,30714,21875,NA,15000,17361,48750,18333,22500,20833,23424,NA,21932,38750,2010
8063,29435,29875,23906,24955,18988,38152,52794,25938,44250,26838,6190,34649,21806,2010
8065,NA,19583,32199,NA,32031,49875,16865,14201,50875,32687,24199,31026,23394,2010
8067,19769,36262,29266,46175,22252,36603,28964,35299,42705,32478,21548,45463,25672,2010
8069,22643,36497,55330,42122,20306,47838,35026,37912,49522,30910,10398,55323,20730,2010
8071,22557,25573,29630,40313,20294,40909,55938,33214,30417,25933,9141,35000,27981,2010
8073,30521,26875,24107,38750,15740,44269,66250,28125,50625,26818,"2,500-",45500,12379,2010
8075,25997,28375,32292,26336,18089,54625,19554,34700,24559,25530,"2,500-",34977,28931,2010
8077,24828,33958,32305,40670,22663,47356,32893,39244,44101,30526,16068,46168,24805,2010
8079,160250,16389,NA,NA,18594,30208,17344,6875,53839,40163,42750,50114,30329,2010
8081,22321,43259,44141,42358,26106,57879,21058,21439,8438,27195,8438,53039,27946,2010
8083,21892,35474,21176,51250,24078,50104,35208,20656,35231,30074,24528,43981,17039,2010
8085,20663,34182,33247,38527,23971,36360,46063,34896,33090,26583,6406,45020,15213,2010
8087,26944,38101,26532,25938,21465,40910,32411,31125,31026,21268,14583,42143,19349,2010
8089,20981,36141,27639,14185,20057,41625,20529,19375,51250,28196,"2,500-",36985,18333,2010
8091,36250,41800,41094,NA,18750,42031,48750,37125,38598,34653,11667,44028,13250,2010
8093,30976,45000,71823,40987,32378,51174,53750,42054,44129,27284,26629,63715,34240,2010
8095,30732,41417,23594,31310,20781,41685,22019,25938,55000,22974,NA,25833,15976,2010
8097,25982,52417,42153,45086,31575,52587,41335,53411,67070,42260,30973,56601,18958,2010
8099,21152,25609,16012,26750,15294,27303,7167,22083,36094,30625,15357,42083,20197,2010
8101,31613,30683,41604,28622,21819,40325,30344,32235,42973,30680,15635,47604,20105,2010
8103,16953,45142,48692,72188,27500,51422,37500,31480,41042,31579,3897,41705,21528,2010
8105,29167,23152,27593,38466,15272,28957,"2,500-",24712,28864,27616,11991,35323,20450,2010
8107,26776,42525,37365,51139,24903,34716,42022,34231,34258,35833,31250,40197,21210,2010
